[0.88394393 0.41214068]
[0.90314227 0.4393642 ]
[0.88394393 0.41214068]
[0.90314227 0.4393642 ]
[0.88394393 0.41214068]
[0.90314227 0.4393642 ]
[0.88394393 0.41214068]
[0.77612209 0.28239181]
[0.77963009 0.29396752]
[0.77612209 0.28239181]
[0.77963009 0.29396752]
[0.77612209 0.28239181]
[0.77963009 0.29396752]
[0.77612209 0.28239181]
[0.81709967 0.08355205]
[0.84401274 0.10861655]
[0.81708161 0.08353351]
[1.         0.20862453]
[0.48587026 0.21744025]
[0.49733234 0.18128229]
[0.48587026 0.21744025]
[0.49733234 0.18128229]
[0.59000529 0.58902596]
[0.57391119 0.3819898 ]
[0.55361768 0.33065641]
[0.71013171 0.28866765]
[0.38895646 0.29020136]
[0.37770678 0.32326949]
[0.38895646 0.29020136]
[0.37770678 0.32326949]
[0.38895646 0.29020136]
[0.37770678 0.32326949]
[0.38895646 0.29020136]
[0.16994155 0.74208849]
[0.58459404 0.4160254 ]
[0.57882267 0.35049651]
[0.58459404 0.4160254 ]
[0.57882267 0.35049651]
[0.58459404 0.4160254 ]
[0.57882267 0.35049651]
[0.58459404 0.4160254 ]
[0.54247147 0.34908281]
[0.37363258 0.28863665]
[0.37464249 0.31893723]
[0.37363258 0.28863665]
[0.37464249 0.31893723]
[0.37363258 0.28863665]
[0.37464249 0.31893723]
[0.37363258 0.28863665]
[0.79238427 0.42545947]
[0.437831   0.39926167]
[0.50390148 0.4798281 ]
[0.437831   0.39926167]
[0.50390148 0.4798281 ]
[0.62649592 0.91410018]
[0.62649592 0.91410018]
[0.397268   0.43874067]
[0.39668576 0.39826707]
[0.397268   0.43874067]
[0.39668576 0.39826707]
[0.397268   0.43874067]
[0.39668576 0.39826707]
[0.397268   0.43874067]
[0.38807907 0.39079788]
[0.437831   0.39926167]
[0.50390148 0.4798281 ]
[0.437831   0.39926167]
[0.50390148 0.4798281 ]
[0.437831   0.39926167]
[0.50390148 0.4798281 ]
[0.437831   0.39926167]
[0.88723966 0.47617233]
[0.35623637 0.25357426]
[0.35340191 0.26327285]
[0.35623637 0.25357426]
[0.35340191 0.26327285]
[0.35623637 0.25357426]
[0.35340191 0.26327285]
[0.37118652 0.0914142 ]
[0.76601526 0.83324175]
[0.48327041 0.20292108]
[0.49208777 0.20425396]
[0.48327041 0.20292108]
[0.75639766 0.23430288]
[0.37879402 0.20437162]
[0.43396386 0.22024902]
[0.37879402 0.20437162]
[0.86669865 0.70227678]
[0.397268   0.43874067]
[0.39668576 0.39826707]
[0.397268   0.43874067]
[0.39668576 0.39826707]
[0.397268   0.43874067]
[0.39668576 0.39826707]
[0.397268   0.43874067]
[0.38807907 0.39079788]
[0.43694234 0.39656869]
[0.50158279 0.25570975]
[0.43694234 0.39656869]
[0.50158279 0.25570975]
[0.43694234 0.39656869]
[0.50158279 0.25570975]
[0.43694234 0.39656869]
[0.62528474 0.05687486]
[0.37363258 0.28863665]
[0.37464249 0.31893723]
[0.37363258 0.28863665]
[0.37464249 0.31893723]
[0.37363258 0.28863665]
[0.37464249 0.31893723]
[0.4417322  0.30608278]
[0.42801573 0.32159237]
[0.37522241 0.19159253]
[0.41083824 0.12828391]
[0.37522241 0.19159253]
[0.41083824 0.12828391]
[0.31754212 0.79206085]
[0.40854716 0.82731316]
[0.39472362 0.08602698]
[0.43499503 0.06685689]
[0.37522241 0.19159253]
[0.41083824 0.12828391]
[0.37522241 0.19159253]
[0.41083824 0.12828391]
[0.22376565 0.19362439]
[0.65011067 0.24600982]
[0.22376565 0.19362439]
[0.75639766 0.23430288]
[0.59325917 0.48112781]
[0.59580736 0.58790966]
[0.59325917 0.48112781]
[0.59580736 0.58790966]
[0.59539441 0.73421131]
[0.59539441 0.73421131]
[0.96635959 0.62855704]
[0.43405197 0.69580299]
[0.42510837 0.6912846 ]
[0.43405197 0.69580299]
[0.36973757 0.39430061]
[0.34694393 0.41632008]
[0.36973757 0.39430061]
[0.34694393 0.41632008]
[0.35266858 0.29470768]
[0.2865762  0.24952148]
[0.35266858 0.29470768]
[0.87137199 0.7700597 ]
[0.32585223 0.31469501]
[0.41993124 0.25055303]
[0.32585223 0.31469501]
[0.41993124 0.25055303]
[0.32585223 0.31469501]
[0.41993124 0.25055303]
[0.32585223 0.31469501]
[0.93692131 0.66492486]
[0.62649591 0.91410019]
[0.62649591 0.91410019]
[0.62649595 0.91410017]
[0.62649592 0.91410018]
[0.47069976 0.90948323]
[0.46647713 0.9105618 ]
[0.47069977 0.90948323]
[0.9445888  0.70330601]
[0.40389945 0.69874287]
[0.50407709 0.71591606]
[0.40389945 0.69874287]
[0.50407709 0.71591606]
[0.32982327 0.34187045]
[0.41766256 0.25737593]
[0.32982327 0.34187045]
[0.41766256 0.25737593]
[0.32982327 0.34187045]
[0.41766256 0.25737593]
[0.32982327 0.34187045]
[0.41766256 0.25737593]
[0.32982327 0.34187045]
[0.41766256 0.25737593]
[0.32982327 0.34187045]
[0.41766256 0.25737593]
[0.33017676 0.33924788]
[0.42978244 0.28642566]
[0.33017676 0.33924788]
[0.42978244 0.28642566]
[0.90314227 0.4393642 ]
[0.90314227 0.4393642 ]
[0.90314227 0.4393642 ]
[0.90314227 0.4393642 ]
[0.31857357 0.21137807]
[0.35895607 0.18236966]
[0.31857357 0.21137807]
[0.35895607 0.18236966]
[0.32873735 0.34294075]
[0.4146638  0.25856259]
[0.32873735 0.34294075]
[0.4146638  0.25856259]
[0.31301401 0.26295842]
[0.39318523 0.20518271]
[0.31301401 0.26295842]
[0.39318523 0.20518271]
[0.31301401 0.26295842]
[0.39318523 0.20518271]
[0.32873735 0.34294075]
[0.4146638  0.25856259]
[0.32982327 0.34187045]
[0.42677913 0.28973184]
[0.32982327 0.34187045]
[0.42677913 0.28973184]
[0.32873735 0.34294075]
[0.4146638  0.25856259]
[0.32873735 0.34294075]
[0.4146638  0.25856259]
[0.31301401 0.26295842]
[0.39318523 0.20518271]
[0.31301401 0.26295842]
[0.39318523 0.20518271]
[0.30960839 0.20091285]
[0.38013134 0.14550984]
[0.30960839 0.20091285]
[0.38013134 0.14550984]
[0.31782886 0.30186397]
[0.40168935 0.19781027]
[0.31782886 0.30186397]
[0.40168935 0.19781027]
[0.31782886 0.30186397]
[0.40168935 0.19781027]
[0.31782886 0.30186397]
[0.40168935 0.19781027]
[0.75146011 0.17583039]
[0.75146011 0.17583039]
[0.75146011 0.17583039]
[0.66326386 0.02176553]
[0.32488014 0.28333403]
[0.37354685 0.23846954]
[0.32488014 0.28333403]
[0.37354685 0.23846954]
[0.34177012 0.80323465]
[0.4231629  0.77640671]
[0.3514845  0.10419194]
[0.47385187 0.16026493]
[0.38976818 0.5015091 ]
[0.43156719 0.51155769]
[0.38976818 0.5015091 ]
[0.43156719 0.51155769]
[0.37483589 0.4697559 ]
[0.42022246 0.48439696]
[0.37483589 0.4697559 ]
[0.41725244 0.44364925]
[0.37483589 0.4697559 ]
[0.41725244 0.44364925]
[0.37483589 0.4697559 ]
[0.41725244 0.44364925]
[0.37483589 0.4697559 ]
[0.41725244 0.44364925]
[0.37483589 0.4697559 ]
[0.41725244 0.44364925]
[0.648046   0.09296028]
[0.648046   0.09296028]
[0.648046   0.09296028]
[0.64804627 0.09296042]
[0.648046   0.09296028]
[0.648046   0.09296028]
[0.55571032 0.03598987]
[0.66702996 0.02151355]
[0.35912852 0.71910019]
